ID,Название,Авторы,Год публикации,В_РИНЦ
80340461,СХЕМОТЕХНИКА ТЕЛЕКОММУНИКАЦИОННЫХ УСТРОЙСТВ,"Редкова Н.А., Кузина Е.И., Кузин П.И.",2025,Да
80340463,ЭЛЕКТРОННЫЕ УСТРОЙСТВА,"Базир Г.И., Иванов С.Е., Редкова Н.А., Кузина Е.И., Кузин П.И.",2025,Да
80490396,ТЕОРЕТИЧЕСКИЕ ОСНОВЫ ФИЗИЧЕСКОЙ ПОДГОТОВКИ СЛУШАТЕЛЕЙ ВОЕННО-УЧЕБНЫХ ЗАВЕДЕНИЙ,"Федюк Н.С., Федоров А.В., Марин А.П., Андросов А.М., Буздов А.Ю.",2025,Да
80641447,СОВРЕМЕННЫЕ ТЕНДЕНЦИИ ИНЖЕНЕРНОГО ОБРАЗОВАНИЯ,Нет авторов,2025,Да
80528783,СПОСОБ ПРОЕКТИРОВАНИЯ СТРУКТУРЫ ВОЛОКОННО-ОПТИЧЕСКОЙ СЕТИ СВЯЗИ,"Горай И.И., Журавлёв Д.А., Калайтанова Е.В., Муравцов А.А.",2025,Да
80487677,ТЕОРИЯ ЭЛЕКТРОСВЯЗИ,"Биккенин Р.Р., Авдяков В.А., Макаров И.В.",2025,Да
81026014,ИННОВАЦИОННОЕ ОБРАЗОВАТЕЛЬНОЕ ПРОСТРАНСТВО: ТЕОРИЯ И ПРАКТИКА ОБУЧЕНИЯ ИНОСТРАННЫМ ЯЗЫКАМ И РУССКОМУ ЯЗЫКУ КАК ИНОСТРАННОМУ В ВЫСШЕЙ ШКОЛЕ,Нет авторов,2025,Да
81299362,МОДЕЛИ И МЕТОДИКА ОРИЕНТАЦИИ ФИЗИЧЕСКОЙ ПОДГОТОВКИ ВОЕННОСЛУЖАЩИХ НА ВЫПОЛНЕНИЕ ТРЕБОВАНИЙ СОВРЕМЕННОГО БОЯ,"Зыков А.В., Андросов А.М.",2025,Да
82330784,СПОСОБ ПЕРЕДАЧИ ДАННЫХ В РАДИОРЕЛЕЙНОЙ СЕТИ СВЯЗИ,"Журавлев Д.А., Обердерфер В.Н., Овсянкин С.В.",2025,Да
82331071,СПОСОБ ЗАЩИТЫ ИНФОРМАЦИОННО-ВЫЧИСЛИТЕЛЬНОЙ СЕТИ ОТ ВТОРЖЕНИЯ,"Задбоев В.А., Липатников В.А., Мелехов К.В., Шевченко А.А.",2025,Да
82297274,РАЗВИТИЕ РЕГИОНАЛЬНОГО ПРОСТРАНСТВА НЕПРЕРЫВНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ,"Туфанов А.О., Марон А.Е., Резинкина Л.В., Монахова Л.Ю., Моштаков А.А., Рябоконь Е.А., Селиванова О.В., Закутняя Т.В., Баранова О.И., Корчагина Е.В., Десфонтейнес Л.Г.",2025,Да
80414310,СИСТЕМА КОНТРОЛЯ БЕЗОПАСНОСТИ СЕТИ ПЕРЕДАЧИ ДАННЫХ,"Задбоев В.А., Липатников В.А., Мелехов К.В., Парфиров В.А., Петренко М.И., Шевченко А.А.",2025,Да
80641467,"ИСПОЛЬЗОВАНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В ПОДГОТОВКЕ ОФИЦЕРОВ: ОБУЧЕНИЕ, ТРЕНИРОВКИ И АНАЛИТИКА","Горохов А.В., Васильева Т.Г., Баринов Д.М.",2025,Да
80567398,ИСПОЛЬЗОВАНИЕ ОПТИЧЕСКИХ ИЗОЛЯТОРОВ В УСТРОЙСТВАХ ФОТОНИКИ НА ОСНОВЕ ЛАЗЕРНЫХ ДИОДОВ,"Козодаев Д.А., Пщелко Н.С., Цыганов А.Б.",2024,Да
80444211,МЕТОДОЛОГИЯ И ТЕХНОЛОГИЯ ОБУЧЕНИЯ ИНЖЕНЕРНОЙ КОМПЬЮТЕРНОЙ ГРАФИКИ В ВУЗЕ,Симак Н.Ю.,2025,Да
80669047,ГРАФИЧЕСКАЯ КОМПЕТЕНТНОСТЬ КУРСАНТОВ ВЫСШЕГО ВОЕННОГО ТЕХНИЧЕСКОГО ОБРАЗОВАНИЯ,Симак Н.Ю.,2025,Да
